model,config,cv_mean,cv_std,test_mean,test_std,bal_acc_mean,bal_acc_std,macro_f1_mean,macro_f1_std,recall_normal_mean,recall_normal_std,recall_suspect_mean,recall_suspect_std,recall_patho_mean,recall_patho_std
RF,A — Correct,0.9374,0.004,0.9406,0.0105,0.9052,0.0219,0.9026,0.0196,0.9633,0.0081,0.8153,0.0314,0.9371,0.0463
RF,B — +L4,0.9376,0.0027,0.9394,0.0106,0.9039,0.0215,0.9009,0.0209,0.962,0.0089,0.8153,0.0282,0.9343,0.0468
RF,C — +L1+L4,0.9756,0.0017,0.9771,0.0046,0.9769,0.0048,0.9769,0.0048,0.9644,0.0075,0.9684,0.0078,0.9979,0.002
RF,D — Full naive,0.9783,0.001,0.9771,0.0046,0.9769,0.0048,0.9769,0.0048,0.9644,0.0075,0.9684,0.0078,0.9979,0.002
SVM,A — Correct,0.8819,0.0052,0.8843,0.0158,0.8823,0.0274,0.8277,0.0259,0.8864,0.015,0.8661,0.0334,0.8943,0.0588
SVM,B — +L4,0.8821,0.0053,0.8843,0.0167,0.8832,0.0286,0.8282,0.0269,0.8858,0.0155,0.8695,0.0358,0.8943,0.0588
SVM,C — +L1+L4,0.9356,0.0025,0.9404,0.0057,0.9401,0.0056,0.9403,0.0058,0.8904,0.0132,0.9593,0.0081,0.9706,0.0102
SVM,D — Full naive,0.9393,0.0022,0.9404,0.0057,0.9401,0.0056,0.9403,0.0058,0.8904,0.0132,0.9593,0.0081,0.9706,0.0102
XGB,A — Correct,0.9454,0.0041,0.9453,0.0111,0.9077,0.0182,0.9077,0.0211,0.969,0.011,0.8169,0.0274,0.9371,0.0376
XGB,B — +L4,0.9462,0.0051,0.9453,0.0116,0.906,0.0166,0.908,0.0194,0.9696,0.0121,0.8169,0.0318,0.9314,0.0386
XGB,C — +L1+L4,0.9793,0.0017,0.9838,0.0047,0.9836,0.0049,0.9837,0.0049,0.9765,0.0095,0.9782,0.0079,0.9961,0.0024
XGB,D — Full naive,0.9822,0.0012,0.9838,0.0047,0.9836,0.0049,0.9837,0.0049,0.9765,0.0095,0.9782,0.0079,0.9961,0.0024
